STATE,REGION,COUNTY,FIPSCODE,CCBP_RATE_SOGS_PER_1000,ACS_PER_CAPITA_INCOME,ACS_PCT_PERSON_INC99
Alabama,South,Autauga County,1001,0.07741789552,25089.25,12.52075
Alabama,South,Baldwin County,1003,0.1467626015,27250.75,13.531
Alabama,South,Barbour County,1005,0.169922898,17063,25.9605
Alabama,South,Bibb County,1007,0.2216658386,18239,17.10775
Alabama,South,Blount County,1009,0.09991779605,20699,16.5875
Alabama,South,Bullock County,1011,0.2145576408,17955.75,23.40275
Alabama,South,Butler County,1013,0.1484171161,18229.75,26.34725
Alabama,South,Calhoun County,1015,0.2355360551,21434.75,20.93875
Alabama,South,Chambers County,1017,0.2061026303,20783.5,22.48375
Alabama,South,Cherokee County,1019,0.1934048019,22154.75,19.4715
Alabama,South,Chilton County,1021,0.1429313745,21465.75,19.429
Alabama,South,Choctaw County,1023,0.245140918,20779.75,21.8345
Alabama,South,Clarke County,1025,0.2223893063,19902,26.431
Alabama,South,Clay County,1027,0.2236598352,19417.75,17.75625
Alabama,South,Cleburne County,1029,0.1338625231,19696.5,18.297
Alabama,South,Coffee County,1031,0.1178841214,24461.25,17.69275
Alabama,South,Colbert County,1033,0.1560337853,22299.75,17.52725
Alabama,South,Conecuh County,1035,0.1178843748,15754.5,32.98425
Alabama,South,Coosa County,1037,0.09083736207,17960.25,18.87775
Alabama,South,Covington County,1039,0.1792929678,21011.75,19.824
Alabama,South,Crenshaw County,1041,0.3065363242,20687.25,17.77275
Alabama,South,Cullman County,1043,0.1963910616,20946.75,18.11875
Alabama,South,Dale County,1045,0.1464550564,22613.25,18.92525
Alabama,South,Dallas County,1047,0.1945333696,17569.5,35.17825
Alabama,South,Dekalb County,1049,0.2041486542,18415.25,19.616
Alabama,South,Elmore County,1051,0.1114430329,24298.25,13.563
Alabama,South,Escambia County,1053,0.1194570366,16919.5,25.2355
Alabama,South,Etowah County,1055,0.1355393231,20609,19.1625
Alabama,South,Fayette County,1057,0.2541240729,19320,19.08
Alabama,South,Franklin County,1059,0.2693165703,18558.75,22.7375
